epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,99.3991,1.55744,2.5849,1.39327,0.07237,0.5131,0.34557,0.15508,1.7406,inf,1.42194,0.00984848,0.00328283,0.00984848,0.00328283,0.00984848,0.00328283,0.00984848,0.00328283
2,168.108,1.1964,1.35029,1.15376,0.62698,0.53045,0.51692,0.34617,1.2765,1.87188,1.13618,0.0197787,0.0065929,0.0197787,0.0065929,0.0197787,0.0065929,0.0197787,0.0065929
3,236.786,1.14694,1.27209,1.10522,0.63449,0.38903,0.46819,0.3122,1.23105,inf,1.12861,0.0296386,0.00987954,0.0296386,0.00987954,0.0296386,0.00987954,0.0296386,0.00987954
4,305.047,1.11282,1.18383,1.07832,0.52721,0.55751,0.50511,0.33503,1.20702,inf,1.1278,0.0296836,0.00989453,0.0296836,0.00989453,0.0296836,0.00989453,0.0296836,0.00989453
5,373.482,1.04663,1.07112,1.04965,0.58558,0.37869,0.36041,0.24591,1.25459,4.82515,1.13509,0.0295781,0.00985938,0.0295781,0.00985938,0.0295781,0.00985938,0.0295781,0.00985938
6,444.22,1.01548,1.01137,1.03979,0.78716,0.56139,0.65115,0.45154,1.14934,3.95879,1.07137,0.0294727,0.00982422,0.0294727,0.00982422,0.0294727,0.00982422,0.0294727,0.00982422
7,513.727,0.99786,0.96587,1.02993,0.74095,0.5793,0.71138,0.50549,1.00817,1.46245,1.0398,0.0293672,0.00978906,0.0293672,0.00978906,0.0293672,0.00978906,0.0293672,0.00978906
8,583.857,0.96726,0.91636,1.01661,0.73071,0.62735,0.69848,0.49656,1.02584,1.1869,1.01406,0.0292617,0.00975391,0.0292617,0.00975391,0.0292617,0.00975391,0.0292617,0.00975391
9,652.145,0.95898,0.89082,1.01408,0.76816,0.55944,0.70239,0.49155,1.08934,1.67528,1.06572,0.0291563,0.00971875,0.0291563,0.00971875,0.0291563,0.00971875,0.0291563,0.00971875
10,718.991,0.94621,0.85569,1.00817,0.62108,0.54489,0.56775,0.40713,1.13641,2.49179,1.07069,0.0290508,0.00968359,0.0290508,0.00968359,0.0290508,0.00968359,0.0290508,0.00968359
11,787.838,0.93157,0.84057,1.00236,0.79264,0.6161,0.70977,0.50472,1.07118,1.19695,1.03631,0.0289453,0.00964844,0.0289453,0.00964844,0.0289453,0.00964844,0.0289453,0.00964844
12,855.727,0.91718,0.82314,0.99547,0.76761,0.70202,0.77033,0.55474,1.03633,0.95543,1.02827,0.0288398,0.00961328,0.0288398,0.00961328,0.0288398,0.00961328,0.0288398,0.00961328
13,925.303,0.91662,0.7991,0.99195,0.81632,0.66946,0.76203,0.56319,0.9753,0.87813,0.99142,0.0287344,0.00957812,0.0287344,0.00957812,0.0287344,0.00957812,0.0287344,0.00957812
14,995.302,0.89556,0.78539,0.98841,0.71941,0.65386,0.73931,0.55429,0.96074,1.04807,1.00346,0.0286289,0.00954297,0.0286289,0.00954297,0.0286289,0.00954297,0.0286289,0.00954297
15,1063.54,0.88882,0.77759,0.9886,0.77759,0.69963,0.77657,0.56359,0.98194,1.00044,0.99955,0.0285234,0.00950781,0.0285234,0.00950781,0.0285234,0.00950781,0.0285234,0.00950781
16,1130,0.88821,0.75768,0.98161,0.81064,0.67259,0.79713,0.59348,0.92482,0.81332,0.98252,0.028418,0.00947266,0.028418,0.00947266,0.028418,0.00947266,0.028418,0.00947266
17,1198.49,0.86417,0.74381,0.97689,0.83742,0.65662,0.77738,0.5785,0.93223,0.88873,0.97821,0.0283125,0.0094375,0.0283125,0.0094375,0.0283125,0.0094375,0.0283125,0.0094375
18,1267.27,0.86412,0.72687,0.97453,0.78263,0.71255,0.79773,0.59848,0.9076,0.8414,0.97709,0.028207,0.00940234,0.028207,0.00940234,0.028207,0.00940234,0.028207,0.00940234
19,1336.91,0.85997,0.71404,0.97486,0.82672,0.68318,0.77076,0.57158,0.90806,0.89331,0.98398,0.0281016,0.00936719,0.0281016,0.00936719,0.0281016,0.00936719,0.0281016,0.00936719
20,1406.25,0.85163,0.7056,0.97044,0.82885,0.71648,0.82238,0.61358,0.88746,0.73412,0.95949,0.0279961,0.00933203,0.0279961,0.00933203,0.0279961,0.00933203,0.0279961,0.00933203
21,1475.22,0.85178,0.6963,0.97049,0.78218,0.67344,0.77541,0.57029,0.98054,0.9275,1.02676,0.0278906,0.00929687,0.0278906,0.00929687,0.0278906,0.00929687,0.0278906,0.00929687
22,1542.29,0.83913,0.68506,0.96741,0.84134,0.69202,0.78658,0.59156,0.91643,0.80961,0.98026,0.0277852,0.00926172,0.0277852,0.00926172,0.0277852,0.00926172,0.0277852,0.00926172
23,1609.89,0.83436,0.67782,0.96584,0.77878,0.6581,0.73804,0.55903,0.9433,0.96209,0.98984,0.0276797,0.00922656,0.0276797,0.00922656,0.0276797,0.00922656,0.0276797,0.00922656
24,1678.75,0.82809,0.67051,0.9616,0.81391,0.70484,0.80064,0.60353,0.88209,0.75715,0.97213,0.0275742,0.00919141,0.0275742,0.00919141,0.0275742,0.00919141,0.0275742,0.00919141
25,1748.02,0.8242,0.66441,0.95958,0.8559,0.69717,0.81046,0.61826,0.90251,0.84162,0.99116,0.0274688,0.00915625,0.0274688,0.00915625,0.0274688,0.00915625,0.0274688,0.00915625
26,1817.84,0.82888,0.65069,0.95991,0.86062,0.70825,0.81299,0.61729,0.86361,0.79261,0.96435,0.0273633,0.00912109,0.0273633,0.00912109,0.0273633,0.00912109,0.0273633,0.00912109
27,1886.12,0.8235,0.64929,0.95785,0.86762,0.73326,0.83842,0.64265,0.87328,0.67647,0.97559,0.0272578,0.00908594,0.0272578,0.00908594,0.0272578,0.00908594,0.0272578,0.00908594
28,1953.16,0.82242,0.6473,0.9556,0.84645,0.69511,0.78735,0.5975,0.89034,0.78143,0.9689,0.0271523,0.00905078,0.0271523,0.00905078,0.0271523,0.00905078,0.0271523,0.00905078
29,2019.75,0.81026,0.63188,0.95651,0.88551,0.7212,0.83022,0.6268,0.93304,0.72593,0.9847,0.0270469,0.00901563,0.0270469,0.00901563,0.0270469,0.00901563,0.0270469,0.00901563
30,2088.07,0.80796,0.62175,0.94835,0.85556,0.73545,0.83427,0.63213,0.88165,0.7303,0.97187,0.0269414,0.00898047,0.0269414,0.00898047,0.0269414,0.00898047,0.0269414,0.00898047
31,2157.77,0.8039,0.61644,0.94877,0.83123,0.72812,0.82477,0.62744,0.87816,0.68672,0.95856,0.0268359,0.00894531,0.0268359,0.00894531,0.0268359,0.00894531,0.0268359,0.00894531
32,2228.31,0.79798,0.61554,0.95131,0.71962,0.68678,0.73854,0.56553,0.87758,0.85229,0.96592,0.0267305,0.00891016,0.0267305,0.00891016,0.0267305,0.00891016,0.0267305,0.00891016
33,2297.62,0.7935,0.60886,0.94692,0.88587,0.71797,0.8255,0.62676,0.90899,0.67475,0.974,0.026625,0.008875,0.026625,0.008875,0.026625,0.008875,0.026625,0.008875
34,2364.26,0.78862,0.59725,0.94444,0.89654,0.74131,0.84836,0.65532,0.83959,0.65416,0.94802,0.0265195,0.00883984,0.0265195,0.00883984,0.0265195,0.00883984,0.0265195,0.00883984
35,2428.86,0.78143,0.59132,0.94395,0.87791,0.73927,0.82324,0.62992,0.89586,0.74747,0.95926,0.0264141,0.00880469,0.0264141,0.00880469,0.0264141,0.00880469,0.0264141,0.00880469
36,2496.72,0.78322,0.58998,0.94151,0.86399,0.75151,0.84132,0.63996,0.86687,0.65545,0.96292,0.0263086,0.00876953,0.0263086,0.00876953,0.0263086,0.00876953,0.0263086,0.00876953
37,2563.67,0.78325,0.58421,0.94182,0.89027,0.72605,0.832,0.6378,0.87637,0.7232,0.96547,0.0262031,0.00873438,0.0262031,0.00873438,0.0262031,0.00873438,0.0262031,0.00873438
38,2631.43,0.76702,0.57477,0.93741,0.8714,0.76342,0.85075,0.66562,0.82457,0.61141,0.9332,0.0260977,0.00869922,0.0260977,0.00869922,0.0260977,0.00869922,0.0260977,0.00869922
39,2696.21,0.77204,0.57424,0.94284,0.88699,0.73326,0.83545,0.65119,0.82366,0.66977,0.94587,0.0259922,0.00866406,0.0259922,0.00866406,0.0259922,0.00866406,0.0259922,0.00866406
40,2761.51,0.76834,0.56882,0.9363,0.89494,0.75105,0.848,0.65656,0.84232,0.64138,0.94496,0.0258867,0.00862891,0.0258867,0.00862891,0.0258867,0.00862891,0.0258867,0.00862891
41,2826.35,0.76058,0.56632,0.93609,0.8789,0.75082,0.82492,0.63965,0.86299,0.64664,0.94295,0.0257812,0.00859375,0.0257812,0.00859375,0.0257812,0.00859375,0.0257812,0.00859375
42,2891.12,0.75897,0.55757,0.93518,0.88099,0.75714,0.83515,0.64348,0.85575,0.62357,0.94901,0.0256758,0.00855859,0.0256758,0.00855859,0.0256758,0.00855859,0.0256758,0.00855859
43,2956.81,0.76187,0.55963,0.93653,0.85528,0.72987,0.83215,0.64569,0.85233,0.6568,0.95646,0.0255703,0.00852344,0.0255703,0.00852344,0.0255703,0.00852344,0.0255703,0.00852344
44,3023.57,0.75995,0.56069,0.93235,0.84736,0.76195,0.86,0.66983,0.81683,0.61323,0.95181,0.0254648,0.00848828,0.0254648,0.00848828,0.0254648,0.00848828,0.0254648,0.00848828
45,3088.13,0.74847,0.55134,0.93078,0.88716,0.77306,0.8512,0.67081,0.81234,0.62691,0.94157,0.0253594,0.00845313,0.0253594,0.00845313,0.0253594,0.00845313,0.0253594,0.00845313
46,3153.13,0.75334,0.55267,0.93421,0.86951,0.75884,0.85001,0.66314,0.81243,0.63099,0.93941,0.0252539,0.00841797,0.0252539,0.00841797,0.0252539,0.00841797,0.0252539,0.00841797
47,3216.98,0.75056,0.54252,0.93425,0.89363,0.76141,0.85858,0.68225,0.77423,0.58765,0.92242,0.0251484,0.00838281,0.0251484,0.00838281,0.0251484,0.00838281,0.0251484,0.00838281
48,3281.97,0.74165,0.54055,0.93008,0.90853,0.77944,0.8627,0.66891,0.82422,0.58299,0.93663,0.025043,0.00834766,0.025043,0.00834766,0.025043,0.00834766,0.025043,0.00834766
49,3347.1,0.74551,0.53155,0.93064,0.87989,0.78677,0.87344,0.6856,0.80008,0.58132,0.93953,0.0249375,0.0083125,0.0249375,0.0083125,0.0249375,0.0083125,0.0249375,0.0083125
50,3412.15,0.74207,0.53199,0.92682,0.88183,0.76053,0.8438,0.65846,0.84414,0.64597,0.95208,0.024832,0.00827734,0.024832,0.00827734,0.024832,0.00827734,0.024832,0.00827734
51,3477.46,0.73995,0.52847,0.92666,0.89688,0.78023,0.85971,0.68101,0.80334,0.58414,0.94204,0.0247266,0.00824219,0.0247266,0.00824219,0.0247266,0.00824219,0.0247266,0.00824219
52,3542.29,0.73489,0.52702,0.92578,0.92935,0.7388,0.85452,0.67311,0.80273,0.56907,0.92931,0.0246211,0.00820703,0.0246211,0.00820703,0.0246211,0.00820703,0.0246211,0.00820703
53,3606.48,0.73141,0.51979,0.92517,0.8689,0.77958,0.85563,0.6732,0.81104,0.59658,0.9472,0.0245156,0.00817188,0.0245156,0.00817188,0.0245156,0.00817188,0.0245156,0.00817188
54,3670.93,0.73021,0.5187,0.92445,0.88905,0.74266,0.84406,0.66086,0.81911,0.64221,0.94492,0.0244102,0.00813672,0.0244102,0.00813672,0.0244102,0.00813672,0.0244102,0.00813672
55,3735.67,0.7223,0.51243,0.92217,0.86552,0.77603,0.8527,0.66787,0.79471,0.59844,0.93136,0.0243047,0.00810156,0.0243047,0.00810156,0.0243047,0.00810156,0.0243047,0.00810156
56,3800.69,0.72537,0.51505,0.92316,0.90929,0.75908,0.85691,0.67499,0.7941,0.57531,0.93511,0.0241992,0.00806641,0.0241992,0.00806641,0.0241992,0.00806641,0.0241992,0.00806641
57,3866.76,0.72128,0.50895,0.91925,0.92052,0.77548,0.85817,0.67936,0.80361,0.58399,0.94213,0.0240937,0.00803125,0.0240937,0.00803125,0.0240937,0.00803125,0.0240937,0.00803125
58,3932.33,0.70993,0.5055,0.91714,0.89906,0.79212,0.85835,0.67123,0.80077,0.58968,0.93929,0.0239883,0.00799609,0.0239883,0.00799609,0.0239883,0.00799609,0.0239883,0.00799609
59,3996.86,0.71609,0.50758,0.92032,0.91791,0.77293,0.866,0.68008,0.77991,0.56469,0.93368,0.0238828,0.00796094,0.0238828,0.00796094,0.0238828,0.00796094,0.0238828,0.00796094
60,4061.55,0.70949,0.49964,0.9157,0.9221,0.76455,0.85902,0.68117,0.8081,0.60102,0.94643,0.0237773,0.00792578,0.0237773,0.00792578,0.0237773,0.00792578,0.0237773,0.00792578
61,4125.72,0.71071,0.49863,0.91892,0.91908,0.76672,0.86503,0.6848,0.83504,0.5859,0.967,0.0236719,0.00789063,0.0236719,0.00789063,0.0236719,0.00789063,0.0236719,0.00789063
62,4190.52,0.71132,0.49808,0.91903,0.90875,0.75134,0.85766,0.69169,0.77394,0.59968,0.9307,0.0235664,0.00785547,0.0235664,0.00785547,0.0235664,0.00785547,0.0235664,0.00785547
63,4256.75,0.71799,0.49726,0.92036,0.93843,0.78563,0.87433,0.69682,0.77557,0.53176,0.92325,0.0234609,0.00782031,0.0234609,0.00782031,0.0234609,0.00782031,0.0234609,0.00782031
64,4322.02,0.70027,0.48615,0.91462,0.92071,0.77974,0.86888,0.68691,0.79107,0.52148,0.92611,0.0233555,0.00778516,0.0233555,0.00778516,0.0233555,0.00778516,0.0233555,0.00778516
65,4386.64,0.694,0.48217,0.91296,0.8758,0.80396,0.8666,0.68963,0.77641,0.53766,0.92661,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775
66,4451.67,0.69932,0.48124,0.9129,0.9248,0.75045,0.84437,0.67491,0.76843,0.55939,0.93217,0.0231445,0.00771484,0.0231445,0.00771484,0.0231445,0.00771484,0.0231445,0.00771484
67,4516.22,0.70023,0.48442,0.91567,0.88706,0.79919,0.86109,0.6895,0.75802,0.52398,0.92258,0.0230391,0.00767969,0.0230391,0.00767969,0.0230391,0.00767969,0.0230391,0.00767969
68,4579.98,0.69484,0.47894,0.91123,0.9263,0.80637,0.87746,0.69909,0.76834,0.52871,0.93093,0.0229336,0.00764453,0.0229336,0.00764453,0.0229336,0.00764453,0.0229336,0.00764453
69,4645.32,0.70096,0.48892,0.91598,0.9094,0.80068,0.87295,0.70141,0.75053,0.54364,0.92272,0.0228281,0.00760938,0.0228281,0.00760938,0.0228281,0.00760938,0.0228281,0.00760938
70,4711.07,0.69811,0.47954,0.91328,0.90914,0.80409,0.87136,0.69693,0.76124,0.56,0.92995,0.0227227,0.00757422,0.0227227,0.00757422,0.0227227,0.00757422,0.0227227,0.00757422
